,AS_Number
0,17488
1,17488
2,17488
3,17488
4,17488
5,17488
6,17488
7,17488
8,24940
9,17488
10,17488
11,17488
12,17488
13,17488
14,17488
15,17488
16,17488
17,17488
18,17488
19,17488
20,17488
21,17488
22,17488
23,17488
24,17488
25,17488
26,17488
27,17488
28,17488
29,17488
30,17488
31,17488
32,17488
33,17488
34,Invalid URL
35,
36,17488
37,17488
38,
39,24444
40,
41,
42,40788
43,
44,4837
45,
46,
47,24186
48,
49,
50,4837
51,
52,
53,7690
54,
55,
56,12978
57,20115
58,17488
59,
60,
61,17488
62,17488
63,17488
64,17488
65,
66,
67,702
68,
69,17488
70,
71,
72,17488
73,17488
74,
75,
76,
77,17488
78,17488
79,17488
80,17488
81,17488
82,17488
83,
84,17488
85,
86,17488
87,
88,
89,
90,
91,17488
92,17488
93,17488
94,17488
95,17813
96,
97,17813
98,17813
99,
100,17813
101,17813
102,17813
103,17813
104,17813
105,32475
106,17488
107,17488
108,17813
109,174
110,4837
111,37203
112,35805
113,2609
114,37203
115,17488
116,17488
117,17488
118,17488
119,17488
120,17488
121,17488
122,24940
123,17488
124,17488
125,
126,17488
127,17488
128,17488
129,17488
130,17488
131,17488
132,17488
133,17488
134,17488
135,17488
136,17488
137,17488
138,18403
139,17488
140,17488
141,17488
142,17488
143,17488
144,17488
145,17488
146,17488
147,17488
148,17488
149,17488
150,17488
151,
152,17488
153,17488
154,17488
155,17488
156,17488
157,17488
158,17488
159,17488
160,17488
161,17488
162,17488
163,17488
164,17488
165,17488
166,
167,17488
168,17488
169,17488
170,
171,17488
172,
173,17488
174,17488
175,17488
176,17488
177,17488
178,17488
179,17488
180,17488
181,17488
182,17488
183,17488
184,17488
185,17488
186,17488
187,17488
188,17488
189,17488
190,17488
191,17488
192,17488
193,4837
194,17488
195,4134
196,4837
197,
198,4766
199,4766
200,17488
201,17488
202,17488
203,17488
204,
205,
206,17488
207,17465
208,17465
209,17488
210,
211,17813
212,17813
213,19429
214,19429
215,19429
216,17813
217,35805
218,36866
219,17465
220,17813
221,17813
222,23969
223,4837
224,4837
225,4837
226,4837
227,17813
228,17813
229,35805
230,17488
231,4134
232,17488
233,4134
234,4134
235,4134
236,4134
237,17488
238,17488
239,4134
240,4837
241,17813
242,17813
243,17813
244,17813
245,17813
246,4837
247,4837
248,17488
249,17488
250,17488
251,17488
252,17488
253,17488
254,
255,17488
256,17488
257,4837
258,17813
259,17488
260,17488
261,17488
262,17488
263,17488
264,17488
265,17488
266,17488
267,17488
268,17488
269,17488
270,17488
271,17488
272,17488
273,17488
274,17488
275,17488
276,17488
277,17488
278,2514
279,17488
280,17488
281,17488
282,17488
283,17488
284,
285,17488
286,
287,17488
288,17488
289,17488
290,
291,17488
292,
293,17488
294,
295,
296,
297,
298,
299,17488
300,13335
301,17488
302,
303,17488
304,17488
305,17488
306,17488
307,17488
308,17488
309,16276
310,17488
311,17488
312,26174
313,17488
314,17488
315,17488
316,
317,17488
318,17488
319,17488
320,17488
321,17488
322,17488
323,17488
324,17488
325,17488
326,17488
327,17488
328,17488
329,17488
330,17488
331,10297
332,10297
333,17488
334,17488
335,17488
336,17488
337,17488
338,10297
339,17488
340,17488
341,17488
342,17488
343,17488
344,17488
345,17488
346,17488
347,17488
348,17488
349,17488
350,17488
351,17488
352,17488
353,17488
354,17488
355,17488
356,17488
357,17488
358,17488
359,17488
360,17488
361,17488
362,17488
363,17488
364,17488
365,17488
366,17488
367,17488
368,
369,17488
370,17488
371,17488
372,17488
373,17488
374,17488
375,17488
376,17488
377,17488
378,17488
379,17488
380,17488
381,
382,17488
383,17488
384,17488
385,17488
386,17488
387,17488
388,17488
389,17488
390,17488
391,17488
392,17488
393,13335
394,17488
395,17488
396,17488
397,17488
398,17488
399,
400,17488
401,17488
402,17488
403,4837
404,17465
405,4837
406,9808
407,
408,17488
409,17488
410,
411,17816
412,4134
413,
414,4837
415,17465
416,17465
417,17488
418,
419,7018
420,35805
421,17488
422,
423,
424,17488
425,
426,17488
427,17488
428,
429,17488
430,17488
431,
432,17488
433,17488
434,
435,
436,
437,
438,
439,
440,
441,17488
442,
443,17488
444,
445,17488
446,17488
447,17813
448,17813
449,
450,
451,29073
452,17488
453,17488
454,17488
455,17488
456,17488
457,17488
458,17488
459,17488
460,17488
461,17488
462,17488
463,4837
464,17488
465,17488
466,17488
467,17488
468,17488
469,17488
470,17488
471,17488
472,17488
473,4837
474,17488
475,17488
476,17813
477,17813
478,17488
479,17488
480,17488
481,17488
482,17488
483,17488
484,17488
485,
486,17488
487,17488
488,17488
489,17488
490,17488
491,17488
492,17488
493,4837
494,17488
495,28812
496,17488
497,
498,17488
499,
500,17488
501,17488
502,4837
503,17488
504,17488
505,17488
506,17488
507,17488
508,17488
509,17488
510,17488
511,17488
512,
513,23456
514,17488
515,
516,17488
517,17488
518,17488
519,
520,
521,17488
522,4837
523,17488
524,17488
525,17488
526,17488
527,17488
528,17488
529,17488
530,17488
531,17488
532,17488
533,17488
534,17488
535,17488
536,
537,17488
538,17488
539,17488
540,17488
541,17488
542,
543,17488
544,17488
545,17488
546,17488
547,17488
548,17488
549,17488
550,17488
551,17488
552,17488
553,17488
554,17488
555,4134
556,17488
557,17488
558,17488
559,17488
560,17488
561,17488
562,17488
563,17488
564,17488
565,4837
566,17488
567,4134
568,17488
569,17488
570,17488
571,17488
572,17488
573,17488
574,17488
575,17488
576,
577,
578,17488
579,17488
580,17488
581,17488
582,17488
583,17813
584,9121
585,17488
586,17488
587,
588,17488
589,
590,
591,17488
592,17488
593,17488
594,17488
595,17488
596,17488
597,17488
598,17488
599,
600,17488
601,17488
602,
603,17488
604,17488
605,17488
606,17488
607,17488
608,17488
609,17488
610,17488
611,17465
612,17488
613,19429
614,17488
615,17488
616,17488
617,17488
618,4134
619,17488
620,17488
621,17488
622,17488
623,17488
624,17488
625,17488
626,17488
627,17488
628,17488
629,17488
630,17488
631,17488
632,17488
633,17488
634,17488
635,17488
636,
637,17488
638,17488
639,17488
640,4134
641,17813
642,17488
643,4837
644,
645,17488
646,
647,17488
648,17488
649,
650,4837
651,17488
652,17488
653,
654,17488
655,17488
656,17488
657,17488
658,17488
659,17488
660,17488
661,17488
662,17488
663,17488
664,17488
665,4837
666,17488
667,17488
668,17488
669,
670,17488
671,
672,17488
673,17488
674,17488
675,17488
676,17488
677,17488
678,17488
679,
680,262767
681,17488
682,17488
683,17488
684,17488
685,17488
686,17488
687,17488
688,17488
689,36903
690,17488
691,4134
692,17488
693,17488
694,17488
695,17488
696,17488
697,
698,17488
699,
700,17488
701,17488
702,4134
703,17488
704,4837
705,17488
706,
707,17488
708,17488
709,17488
710,17488
711,17488
712,17488
713,17488
714,17488
715,17488
716,17813
717,17488
718,17488
719,
720,17488
721,17488
722,17488
723,24186
724,17488
725,17488
726,17488
727,17465
728,17488
729,17488
730,17488
731,17488
732,17813
733,17488
734,17488
735,17488
736,
737,
738,17488
739,
740,17488
741,17488
742,
743,17488
744,17488
745,4837
746,17488
747,
748,17465
749,17488
750,17813
751,4837
752,17488
753,17488
754,17488
755,17488
756,17488
757,17488
758,17488
759,17488
760,17488
761,4766
762,
763,
764,
765,4134
766,17488
767,17488
768,17813
769,6389
770,17488
771,17488
772,
773,17488
774,17488
775,17488
776,17488
777,17488
778,17488
779,17488
780,4837
781,17488
782,17488
783,
784,17813
785,17488
786,
787,17488
788,17488
789,17488
790,
791,7690
792,17488
793,17488
794,17488
795,17488
796,8997
797,17488
798,17813
799,17488
800,17488
801,17488
802,17488
803,17488
804,19429
805,17488
806,17488
807,17488
808,17813
809,17488
810,17488
811,17488
812,17488
813,17488
814,17488
815,17488
816,17488
817,19429
818,4837
819,17488
820,17488
821,17488
822,
823,
824,17488
825,17488
826,17488
827,17488
828,17488
829,4837
830,17488
831,17488
832,17488
833,17488
834,17488
835,4837
836,17488
837,17488
838,17488
839,17488
840,17488
841,
842,17488
843,
844,17488
845,17465
846,17488
847,17488
848,
849,17488
850,17488
851,4134
852,4837
853,20928
854,17488
855,17488
856,17488
857,17488
858,17488
859,17488
860,17488
861,17488
862,17813
863,17488
864,17813
865,17488
866,17488
867,17488
868,17488
869,17488
870,17488
871,17488
872,17488
873,17488
874,17488
875,17488
876,17488
877,17488
878,17488
879,17488
880,
881,
882,17488
883,17488
884,17488
885,4837
886,4837
887,
888,17488
889,
890,17488
891,17488
892,17488
893,
894,
895,
896,
897,
898,52363
899,17465
900,23456
901,23456
902,263354
903,17465
904,19429
905,4764
906,19429
907,17813
908,17813
909,11845
910,17813
911,17813
912,19429
913,19429
914,19429
915,19429
916,2116
917,23888
918,4837
919,263137
920,263137
921,61918
922,263137
923,17813
924,4837
925,4837
926,4837
927,17813
928,17488
929,4134
930,1267
931,
932,4134
933,4134
934,4837
935,4837
936,4134
937,4134
938,
939,
940,4837
941,4837
942,4837
943,17813
944,17813
945,17813
946,4837
947,17488
948,17488
949,17488
950,17488
951,17488
952,
953,17488
954,17488
955,17488
956,17488
957,17488
958,17488
959,17488
960,17488
961,17488
962,32244
963,17488
964,36351
965,
966,13335
967,
968,
969,
970,
971,17488
972,17488
973,17488
974,17488
975,17488
976,17488
977,17488
978,17488
979,17488
980,17488
981,17488
982,17488
983,17488
984,
985,17488
986,17488
987,17488
988,
989,17488
990,17488
991,17488
992,17488
993,17488
994,17488
995,17488
996,17488
997,17488
998,17488
999,17488
1000,17488
1001,17488
1002,17488
1003,17488
1004,17488
1005,17488
1006,17488
1007,17488
1008,
1009,
1010,
1011,17488
1012,17488
1013,
1014,17488
1015,17488
1016,17488
1017,17488
1018,17488
1019,17488
1020,17488
1021,17488
1022,17488
1023,17488
1024,17488
1025,17488
1026,17488
1027,
1028,17488
1029,17488
1030,17488
1031,17488
1032,17488
1033,17488
1034,17488
1035,17488
1036,17488
1037,17488
1038,17488
1039,17488
1040,17488
1041,17488
1042,17488
1043,17488
1044,17488
1045,17488
1046,17488
1047,
1048,17488
1049,17488
1050,17488
1051,17488
1052,17488
1053,17488
1054,17488
1055,17488
1056,17488
1057,17488
1058,17488
1059,17488
1060,51167
1061,17488
1062,17488
1063,17488
1064,17488
1065,17488
1066,17488
1067,17488
1068,17488
1069,17488
1070,17488
1071,17488
1072,17488
1073,17488
1074,17488
1075,17488
1076,17488
1077,17488
1078,17488
1079,17488
1080,
1081,17488
1082,17488
1083,17488
1084,
1085,17488
1086,17488
1087,17488
1088,17488
1089,17488
1090,17488
1091,17488
1092,17488
1093,17488
1094,
1095,17488
1096,17488
1097,17488
1098,17488
1099,17488
1100,17488
1101,
1102,17488
1103,
1104,
1105,
1106,17488
1107,4837
1108,9808
1109,56041
1110,
1111,45769
1112,
1113,
1114,
1115,
1116,9808
1117,9808
1118,4837
1119,
1120,9121
1121,9121
1122,21017
1123,25071
1124,17488
1125,17488
1126,17488
1127,17488
1128,
1129,
1130,17488
1131,
1132,
1133,
1134,
1135,17488
1136,
1137,
1138,17488
1139,
1140,
1141,
1142,17488
1143,17488
1144,17488
1145,
1146,
1147,17488
1148,17488
1149,17488
1150,17488
1151,17488
1152,17488
1153,17488
1154,17488
1155,
1156,
1157,
1158,
1159,
1160,
1161,
1162,
1163,17813
1164,
1165,17813
1166,17813
1167,
1168,
1169,17488
1170,17488
1171,17488
1172,17488
1173,28000
1174,17488
1175,17813
1176,17488
1177,4837
1178,4837
1179,17813
1180,17488
1181,17488
1182,17488
1183,17488
1184,17488
1185,17488
1186,17488
1187,17488
1188,17488
1189,17488
1190,17488
1191,17488
1192,17488
1193,17488
1194,17488
1195,17488
1196,17488
1197,17488
1198,17488
1199,17488
1200,17488
1201,17488
1202,17488
1203,12637
1204,17488
1205,17488
1206,24940
1207,17488
1208,17488
1209,17488
1210,17488
1211,17488
1212,17488
1213,17488
1214,17488
