Country Code,Rule of Law Index
AFG,0.36
ALB,0.50
DZA,0.49
AGO,0.43
ATG,0.63
ARG,0.58
AUS,0.80
AUT,0.82
BHS,0.61
BGD,0.41
BRB,0.65
BLR,0.51
BEL,0.79
BLZ,0.48
BEN,0.50
BOL,0.38
BIH,0.52
BWA,0.60
BRA,0.52
BGR,0.55
BFA,0.51
KHM,0.33
CMR,0.36
CAN,0.81
CHL,0.67
CHN,0.48
COL,0.50
COD,0.34
CRI,0.68
CIV,0.46
HRV,0.61
CZE,0.73
DNK,0.90
DMA,0.58
DOM,0.48
ECU,0.49
EGY,0.36
SLV,0.49
EST,0.81
ETH,0.41
FIN,0.87
FRA,0.73
GMB,0.50
GEO,0.60
DEU,0.84
GHA,0.57
GRC,0.61
GRD,0.59
GTM,0.45
GIN,0.42
GUY,0.50
HND,0.40
HKG,0.76
HUN,0.53
IND,0.51
IDN,0.53
IRN,0.43
ITA,0.66
JAM,0.57
JPN,0.78
JOR,0.57
KAZ,0.52
KEN,0.45
XKX,0.54
KGZ,0.48
LBN,0.45
LBR,0.45
MDG,0.44
MWI,0.52
MYS,0.58
MLI,0.44
MRT,0.36
MUS,0.61
MEX,0.44
MDA,0.50
MNG,0.53
MAR,0.50
MOZ,0.41
MMR,0.42
NAM,0.63
NPL,0.53
NLD,0.84
NZL,0.83
NIC,0.39
NER,0.45
NGA,0.43
MKD,0.53
NOR,0.89
PAK,0.39
PAN,0.52
PER,0.50
PHL,0.47
POL,0.66
PRT,0.70
KOR,0.73
ROU,0.63
RUS,0.47
RWA,0.62
SEN,0.55
SRB,0.50
SLE,0.45
SGP,0.79
SVN,0.69
ZAF,0.59
ESP,0.73
LKA,0.52
KNA,0.63
LCA,0.62
VCT,0.64
SUR,0.50
SWE,0.86
TZA,0.47
THA,0.51
TGO,0.45
TTO,0.54
TUN,0.54
TUR,0.43
UGA,0.40
UKR,0.51
ARE,0.65
GBR,0.79
USA,0.72
URY,0.71
UZB,0.47
VEN,0.27
VNM,0.49
ZMB,0.45
ZWE,0.39
